,Unnamed: 0,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
335,335.0,IndiGo,6E-5217,"Wed, Mar 16",Coimbatore,Tirupati,32h 06m,,"2,080"
336,336.0,IndiGo,6E-7263,"Wed, Mar 16",Mumbai,Tirupati,33h 26m,1 Stop,"2,080"
337,337.0,IndiGo,6E-7066,"Wed, Mar 16",Coimbatore,Tirupati,46h 40m,1 Stop,"2,394"
338,338.0,IndiGo,6E-7201/7251,"Wed, Mar 16",Mumbai,Tirupati,,1 Stop,"3,810"
339,339.0,IndiGo,6E-413/7257,"Wed, Mar 16",Coimbatore,Tirupati,,1 Stop,"4,348"
340,340.0,IndiGo,6E-6433,"Wed, Mar 16",Mumbai,Goa,22h 40m,,"2,253"
341,341.0,Air Asia,I5-1517,"Mon, Feb 21",Kochi,Goa,25h 50m,2 Stops,"2,253"
342,342.0,IndiGo,6E-992,"Mon, Feb 21",Mumbai,Goa,24h 55m,2 Stops,"2,253"
343,343.0,IndiGo,6E-793,"Mon, Feb 21",Kochi,Goa,,2 Stops,"2,253"
344,344.0,Air Asia,I5-972,"Mon, Feb 21",Mumbai,Goa,,,"2,253"
345,345.0,IndiGo,6E-743,"Mon, Feb 21",Kochi,Goa,25h 40m,2 Stops,"2,253"
346,346.0,SpiceJet,SG-4001,"Mon, Feb 21",Mumbai,Goa,,2 Stops,"2,455"
347,347.0,Go First,G8-571,"Mon, Feb 21",Kochi,Goa,,,"2,457"
348,348.0,Air India,9I-9881,"Mon, Feb 21",Mumbai,Goa,30h 25m,,"3,125"
349,349.0,Air India,9I-9518/9547,"Mon, Feb 21",Kochi,Goa,33h 35m,,"3,613"
350,350.0,IndiGo,6E-995,"Mon, Feb 21",Mumbai,Ahmedabad,24h 45m,1 Stop,"2,346"
351,351.0,IndiGo,6E-6593,"Thu, Mar 10",Kochi,Ahmedabad,27h 15m,2 Stops,"2,346"
352,352.0,IndiGo,6E-216,"Thu, Mar 10",Mumbai,Ahmedabad,36h 50m,,"2,346"
353,353.0,IndiGo,6E-827/133,"Thu, Mar 10",Kochi,Ahmedabad,12h 25m,2 Stops,"2,346"
354,354.0,IndiGo,6E-132/5392,"Thu, Mar 10",Mumbai,Ahmedabad,40h 00m,,"2,346"
355,355.0,IndiGo,6E-827/239,"Thu, Mar 10",Kochi,Ahmedabad,4h 20m,,"2,346"
356,356.0,IndiGo,6E-132/5386,"Thu, Mar 10",Mumbai,Ahmedabad,8h 55m,Non Stop,"2,346"
357,357.0,IndiGo,6E-6066/133,"Thu, Mar 10",Kochi,Ahmedabad,,Non Stop,"2,346"
358,358.0,IndiGo,6E-5207/5392,"Thu, Mar 10",Mumbai,Ahmedabad,,Non Stop,"2,346"
359,359.0,IndiGo,6E-2093/926,"Thu, Mar 10",Kochi,Ahmedabad,,Non Stop,"2,346"
360,360.0,IndiGo,6E-2349/6034,"Thu, Mar 10",Mumbai,Dehradun,7h 40m,1 Stop,"3,512"
361,361.0,IndiGo,6E-6684/6034,"Fri, Feb 4",Jaipur,Dehradun,18h 25m,Non Stop,"3,512"
362,362.0,IndiGo,6E-2093/125,"Fri, Feb 4",Mumbai,Dehradun,10h 35m,1 Stop,"3,589"
363,363.0,IndiGo,6E-132/953,"Fri, Feb 4",Jaipur,Dehradun,12h 15m,1 Stop,"3,589"
364,364.0,IndiGo,6E-2093/2017,"Fri, Feb 4",Mumbai,Dehradun,,1 Stop,"3,589"
365,365.0,IndiGo,6E-6737/125,"Fri, Feb 4",Jaipur,Dehradun,40h 53m,1 Stop,"3,589"
366,366.0,IndiGo,6E-5207/953,"Fri, Feb 4",Mumbai,Dehradun,34h 56m,1 Stop,"3,589"
367,367.0,IndiGo,6E-199/953,"Fri, Feb 4",Jaipur,Dehradun,25h 19m,1 Stop,"3,589"
368,368.0,IndiGo,6E-6737/2017,"Fri, Feb 4",Mumbai,Dehradun,,Non Stop,"3,589"
369,369.0,SpiceJet,SG-390/2770,"Fri, Feb 4",Jaipur,Dehradun,25h 19m,Non Stop,"3,748"
370,370.0,IndiGo,6E-7156/6569,"Fri, Feb 4",Mumbai,Mumbai,24h 39m,Non Stop,"2,252"
371,371.0,Air Asia,I5-1518/339,-,Jaipur,Mumbai,,1 Stop,"2,300"
372,372.0,Air Asia,I5-1543/1561,"Thu, Feb 10",Mumbai,Mumbai,,1 Stop,"2,300"
373,373.0,Air Asia,I5-972/472,"Thu, Feb 10",Jaipur,Mumbai,,1 Stop,"2,300"
374,374.0,Air Asia,I5-974/941,"Thu, Feb 10",Mumbai,Mumbai,29h 20m,1 Stop,"2,300"
375,375.0,Air Asia,I5-766/764,"Thu, Feb 10",Jaipur,Mumbai,30h 55m,1 Stop,"2,300"
376,376.0,Air Asia,I5-1543/339,"Thu, Feb 10",Mumbai,Mumbai,,1 Stop,"2,300"
377,377.0,Air Asia,I5-1517/472,"Thu, Feb 10",Jaipur,Mumbai,39h 55m,1 Stop,"2,300"
378,378.0,Air Asia,I5-1518/941,"Thu, Feb 10",Mumbai,Mumbai,,1 Stop,"2,300"
379,379.0,Air Asia,I5-972/631,"Thu, Feb 10",Jaipur,Mumbai,,1 Stop,"2,300"
380,380.0,IndiGo,6E-6277/2347,"Thu, Feb 10",Mumbai,New Delhi,2h 15m,1 Stop,"2,227"
381,381.0,IndiGo,6E-982/2024,"Thu, Feb 10",Varanasi,New Delhi,2h 20m,1 Stop,"2,227"
382,382.0,IndiGo,6E-6277/2072,"Tue, Feb 22",Mumbai,New Delhi,2h 20m,1 Stop,"2,227"
383,383.0,IndiGo,6E-913/648,"Tue, Feb 22",Varanasi,New Delhi,2h 25m,1 Stop,"2,227"
384,384.0,IndiGo,6E-982/2347,"Tue, Feb 22",Mumbai,New Delhi,3h 50m,1 Stop,"2,227"
385,385.0,IndiGo,6E-913/7404,"Tue, Feb 22",Varanasi,New Delhi,2h 15m,1 Stop,"2,227"
386,386.0,Air India,AI-840,"Tue, Feb 22",Mumbai,New Delhi,8h 45m,Non Stop,"2,276"
387,387.0,Air India,AI-541,"Tue, Feb 22",Varanasi,New Delhi,11h 40m,Non Stop,"2,276"
388,388.0,Air India,AI-559,"Tue, Feb 22",Mumbai,New Delhi,22h 05m,Non Stop,"2,276"
389,389.0,Air India,AI-543,"Tue, Feb 22",Varanasi,New Delhi,25h 00m,1 Stop,"2,276"
390,390.0,IndiGo,6E-496/827,"Tue, Feb 22",Mumbai,Bangalore,6h 20m,1 Stop,"3,486"
391,391.0,IndiGo,6E-6172/413,"Tue, Feb 22",Varanasi,Bangalore,9h 20m,1 Stop,"3,486"
392,392.0,IndiGo,6E-893/6319,"Thu, Mar 3",Mumbai,Bangalore,2h 40m,1 Stop,"3,486"
393,393.0,IndiGo,6E-893/371,"Thu, Mar 3",Varanasi,Bangalore,2h 40m,1 Stop,"3,486"
394,394.0,IndiGo,6E-6172/6066,"Thu, Mar 3",Mumbai,Bangalore,2h 50m,1 Stop,"3,486"
395,395.0,Air Asia,I5-510/1543,"Thu, Mar 3",Varanasi,Bangalore,5h 35m,1 Stop,"3,565"
396,396.0,Air Asia,I5-541/1565,"Thu, Mar 3",Mumbai,Bangalore,6h 35m,1 Stop,"3,644"
397,397.0,Air Asia,I5-371/1229,"Thu, Mar 3",Varanasi,Bangalore,7h 35m,1 Stop,"3,644"
398,398.0,Air Asia,I5-510/1229,"Thu, Mar 3",Mumbai,Bangalore,10h 20m,2 Stop(s),"3,644"
399,399.0,Air India,AI-526/9518,"Thu, Mar 3",Varanasi,Bangalore,11h 30m,1 Stop,"3,644"
400,400.0,SpiceJet,SG-489,"Thu, Mar 3",Bangalore,Mumbai,4h 50m,1 Stop,"3,378"
401,401.0,Air Asia,I5-830/764,"Thu, Mar 3",Jaipur,Mumbai,5h 05m,1 Stop,"3,379"
402,402.0,Air Asia,I5-2991/941,"Tue, Mar 22",Bangalore,Mumbai,5h 45m,2 Stop(s),"3,379"
403,403.0,Air Asia,I5-547/764,"Tue, Mar 22",Jaipur,Mumbai,7h 25m,1 Stop,"3,379"
